# Time (s),Altitude (m),Position East of launch (m),Position North of launch (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
0.187,2.404,0.121,-0.121,29.597,180.883,2.088,12.649,8.652,0,0,0
0.194,2.616,0.132,-0.132,30.862,180.727,2.176,12.638,8.251,0,0,0
0.204,2.934,0.147,-0.147,32.673,181.403,2.303,12.685,7.678,0,0,0
0.214,3.269,0.164,-0.164,34.49,182.08,2.43,12.732,7.219,0,0,0
0.224,3.623,0.182,-0.182,36.315,182.758,2.558,12.78,6.818,0,0,0
0.234,3.996,0.2,-0.2,38.146,183.43,2.686,12.915,6.417,0,0,0
0.249,4.589,0.23,-0.23,40.905,184.45,2.88,12.969,5.901,0,4.775e-4,-2.769e-8
0.272,5.556,0.278,-0.278,45.072,185.981,3.173,13.075,5.214,0,0.001,-6.275e-8
0.305,7.183,0.359,-0.359,51.388,188.28,3.617,13.28,4.412,0,0.003,-3.493e-7
0.35,9.672,0.483,-0.483,59.881,191.334,4.218,13.59,3.953,0,0.005,-5.901e-7
0.4,12.908,0.644,-0.644,69.61,197.797,4.92,14.541,2.922,0,0.008,-1.528e-6
0.428,14.935,0.746,-0.746,75.199,201.43,5.335,15.107,2.636,0,0.01,-2.217e-6
0.47,18.272,0.914,-0.914,83.712,203.955,5.985,15.889,2.349,0,0.013,-2.478e-6
0.52,22.714,1.14,-1.14,93.984,206.945,6.809,17.117,1.948,0,0.017,-4.638e-6
0.563,26.947,1.358,-1.358,102.938,209.497,7.573,18.47,1.604,0,0.021,-5.566e-6
0.613,32.357,1.643,-1.643,113.468,211.697,8.541,20.334,1.203,0,0.025,-1.189e-5
0.663,38.296,1.963,-1.964,124.107,213.827,9.616,22.797,0.573,0,0.028,-3.767e-5
0.694,42.246,2.182,-2.183,130.755,215.105,10.351,24.617,0.029,0,0.028,-9.549e-4
0.74,48.559,2.541,-2.543,140.791,216.547,11.554,27.106,0.401,0,-0.028,-7.565e-5
0.79,55.87,2.975,-2.976,151.657,218.07,12.976,29.741,0.802,0,-0.024,-4.181e-5
0.84,63.726,3.46,-3.462,162.598,219.596,14.524,32.111,1.089,0,-0.018,-3.083e-5
0.891,72.131,4.002,-4.005,173.617,221.199,16.174,33.768,1.203,0,-0.009,-2.375e-5
0.941,81.09,4.604,-4.607,184.72,222.948,17.881,34.294,1.031,0,0.001,-2.532e-5
0.988,90.116,5.232,-5.235,195.353,224.749,19.501,33.731,0.745,0,0.01,-2.51e-5
1.038,100.165,5.95,-5.954,206.623,226.064,21.151,32.147,0.401,0,0.017,-3.267e-5
1.088,110.779,6.725,-6.73,217.96,227.404,22.706,30.021,8.697e-4,0,0.018,-0.006
1.138,121.962,7.553,-7.559,229.362,228.689,24.152,27.875,0.286,0,-0.017,6.828e-7
1.188,133.717,8.431,-8.438,240.826,229.853,25.502,26.223,0.516,0,-0.009,7.273e-6
1.238,146.046,9.355,-9.363,252.344,230.825,26.795,25.762,0.516,0,6.366e-4,7.975e-6
