# Time (s),Position East of launch (m),Position North of launch (m),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Air temperature (°C),Air pressure (mbar)
51.897,1206.114,-1233.274,-0.031,0.577,69.385,1.111e-7,0.039,3.183e-4,-39.4,323.2
52.397,1205.164,-1232.339,-0.008,0.478,69.958,1.111e-7,0.039,3.183e-4,-39.212,324.2
52.897,1204.123,-1231.309,0.012,0.408,70.417,1.111e-7,0.039,3.183e-4,-39.024,325.2
53.397,1203.005,-1230.199,0.027,0.347,70.76,1.111e-7,0.039,3.183e-4,-38.836,326.1
53.897,1201.821,-1229.021,0.056,0.627,69.156,1.111e-7,0.039,3.183e-4,-38.648,327.1
54.397,1200.551,-1227.756,0.054,0.457,70.13,1.111e-7,0.039,3.183e-4,-38.46,328
54.897,1199.187,-1226.395,0.062,0.461,70.073,1.111e-7,0.039,3.183e-4,-38.272,329
55.397,1197.743,-1224.951,0.06,0.246,71.333,1.111e-7,0.039,3.183e-4,-38.084,330
55.897,1196.237,-1223.444,0.065,0.083,72.307,1.111e-7,0.039,3.183e-4,-37.897,331
56.397,1194.702,-1221.908,0.071,0.072,72.365,1.111e-7,0.039,3.183e-4,-37.709,332
56.897,1193.154,-1220.357,0.076,0.065,72.422,1.111e-7,0.039,3.183e-4,-37.522,333
57.397,1191.594,-1218.794,0.079,0.083,73.281,1.111e-7,0.039,3.183e-4,-37.335,334
57.897,1190.037,-1217.232,0.082,0.032,72.594,1.111e-7,0.039,3.183e-4,-37.148,335
58.397,1188.484,-1215.674,0.086,0.237,71.391,1.111e-7,0.039,3.183e-4,-36.961,336
58.897,1186.908,-1214.092,0.084,0.037,72.594,1.111e-7,0.039,3.183e-4,-36.775,337
59.397,1185.308,-1212.485,0.086,0.145,71.963,1.111e-7,0.039,3.183e-4,-36.588,338
59.897,1183.692,-1210.862,0.085,0.018,72.651,1.111e-7,0.039,3.183e-4,-36.402,339
60.397,1182.062,-1209.225,0.086,0.094,72.25,1.111e-7,0.039,3.183e-4,-36.216,340
60.897,1180.422,-1207.577,0.087,0.146,71.906,1.111e-7,0.039,3.183e-4,-36.03,341
61.397,1178.761,-1205.908,0.09,0.295,71.047,1.111e-7,0.039,3.183e-4,-35.845,342
61.897,1177.061,-1204.2,0.094,0.433,70.245,1.111e-7,0.039,3.183e-4,-35.659,343
62.397,1175.297,-1202.428,0.083,0.109,72.135,1.111e-7,0.039,3.183e-4,-35.474,344
62.897,1173.486,-1200.607,0.083,0.036,72.594,1.111e-7,0.039,3.183e-4,-35.289,345
63.397,1171.661,-1198.774,0.084,0.107,72.135,1.111e-7,0.039,3.183e-4,-35.104,346
63.897,1169.824,-1196.928,0.083,0.049,73.052,1.111e-7,0.039,3.183e-4,-34.92,346.9
64.397,1167.982,-1195.076,0.083,0.012,72.823,1.111e-7,0.039,3.183e-4,-34.735,347.9
64.897,1166.146,-1193.23,0.084,0.129,73.51,1.111e-7,0.039,3.183e-4,-34.551,348.9
65.397,1164.322,-1191.397,0.083,0.003,72.766,1.111e-7,0.039,3.183e-4,-34.367,349.9
65.897,1162.509,-1189.575,0.088,0.321,74.656,1.111e-7,0.039,1.592e-4,-34.183,350.9
66.397,1160.725,-1187.78,0.081,0.02,72.88,1.111e-7,0.039,3.183e-4,-34,351.9
66.897,1158.97,-1186.016,0.081,0.101,73.396,1.111e-7,0.039,3.183e-4,-33.816,352.9
67.397,1157.226,-1184.262,0.082,0.181,71.734,1.111e-7,0.039,3.183e-4,-33.633,353.8
67.897,1155.475,-1182.502,0.081,0.068,72.365,1.111e-7,0.039,3.183e-4,-33.45,354.9
68.397,1153.702,-1180.719,0.082,0.024,72.938,1.111e-7,0.039,3.183e-4,-33.267,355.9
68.897,1151.926,-1178.932,0.083,0.103,73.396,1.111e-7,0.039,3.183e-4,-33.084,356.9
69.397,1150.16,-1177.157,0.084,0.128,72.021,1.111e-7,0.039,3.183e-4,-32.902,358
69.897,1148.393,-1175.379,0.09,0.352,70.76,1.111e-7,0.039,3.183e-4,-32.72,359
70.397,1146.583,-1173.559,0.082,0.116,73.453,1.111e-7,0.039,3.183e-4,-32.538,360
70.897,1144.752,-1171.718,0.085,0.257,74.255,1.111e-7,0.039,1.592e-4,-32.356,361.1
71.397,1142.954,-1169.91,0.081,0.058,72.422,1.111e-7,0.039,3.183e-4,-32.174,362.1
71.897,1141.173,-1168.12,0.081,0.042,72.536,1.111e-7,0.039,3.183e-4,-31.992,363.1
72.397,1139.384,-1166.321,0.082,0.063,72.422,1.111e-7,0.039,3.183e-4,-31.811,364.1
72.897,1137.585,-1164.512,0.082,0.103,72.193,1.111e-7,0.039,3.183e-4,-31.63,365.2
73.397,1135.772,-1162.689,0.081,0.04,72.536,1.111e-7,0.039,3.183e-4,-31.449,366.2
73.897,1133.946,-1160.853,0.083,0.19,71.677,1.111e-7,0.039,3.183e-4,-31.268,367.2
74.397,1132.1,-1158.997,0.08,0.027,72.594,1.111e-7,0.039,3.183e-4,-31.088,368.2
74.897,1130.234,-1157.121,0.08,0.084,73.281,1.111e-7,0.039,3.183e-4,-30.907,369.2
75.397,1128.374,-1155.251,0.081,0.159,73.682,1.111e-7,0.039,3.183e-4,-30.727,370.3
75.897,1126.535,-1153.402,0.079,0.107,73.396,1.111e-7,0.039,3.183e-4,-30.547,371.3
76.397,1124.719,-1151.577,0.079,0.069,73.167,1.111e-7,0.039,3.183e-4,-30.367,372.3
76.897,1122.919,-1149.767,0.079,0.103,72.193,1.111e-7,0.039,3.183e-4,-30.187,373.3
77.397,1121.116,-1147.954,0.078,0.074,73.224,1.111e-7,0.039,3.183e-4,-30.008,374.3
77.897,1119.311,-1146.138,0.078,0.063,72.422,1.111e-7,0.039,3.183e-4,-29.828,375.3
78.397,1117.506,-1144.324,0.077,0.027,72.651,1.111e-7,0.039,3.183e-4,-29.649,376.4
78.897,1115.693,-1142.501,0.077,0.063,73.167,1.111e-7,0.039,3.183e-4,-29.47,377.4
79.397,1113.884,-1140.682,0.079,0.207,73.969,1.111e-7,0.039,3.183e-4,-29.292,378.4
79.897,1112.098,-1138.887,0.083,0.378,75,1.111e-7,0.039,1.592e-4,-29.113,379.4
80.397,1110.364,-1137.143,0.074,0.039,72.995,1.111e-7,0.039,3.183e-4,-28.935,380.4
80.897,1108.667,-1135.436,0.079,0.242,71.391,1.111e-7,0.039,3.183e-4,-28.756,381.5
81.397,1106.951,-1133.711,0.079,0.252,71.333,1.111e-7,0.039,3.183e-4,-28.578,382.5
81.897,1105.192,-1131.942,0.076,0.041,72.995,1.111e-7,0.039,3.183e-4,-28.4,383.6
82.397,1103.415,-1130.155,0.076,0.052,73.109,1.111e-7,0.039,3.183e-4,-28.223,384.7
82.897,1101.645,-1128.376,0.077,0.008,72.823,1.111e-7,0.039,3.183e-4,-28.045,385.7
83.397,1099.881,-1126.602,0.077,0.066,72.422,1.111e-7,0.039,3.183e-4,-27.868,386.8
83.897,1098.112,-1124.823,0.079,0.21,71.562,1.111e-7,0.039,3.183e-4,-27.691,387.8
84.397,1096.318,-1123.02,0.076,0.033,72.995,1.111e-7,0.039,3.183e-4,-27.514,388.9
84.897,1094.509,-1121.201,0.077,0.138,71.963,1.111e-7,0.039,3.183e-4,-27.337,389.9
85.397,1092.69,-1119.373,0.076,0.052,72.479,1.111e-7,0.039,3.183e-4,-27.16,391
85.897,1090.855,-1117.528,0.076,0.037,72.594,1.111e-7,0.039,3.183e-4,-26.984,392
86.397,1089.012,-1115.675,0.077,0.187,73.854,1.111e-7,0.039,3.183e-4,-26.807,393.1
86.897,1087.182,-1113.835,0.077,0.207,73.969,1.111e-7,0.039,3.183e-4,-26.631,394.1
87.397,1085.387,-1112.031,0.076,0.175,73.797,1.111e-7,0.039,3.183e-4,-26.455,395.2
87.897,1083.625,-1110.26,0.074,0.049,73.052,1.111e-7,0.039,3.183e-4,-26.28,396.2
88.397,1081.884,-1108.509,0.074,0.012,72.823,1.111e-7,0.039,3.183e-4,-26.104,397.3
88.897,1080.148,-1106.763,0.075,0.144,71.963,1.111e-7,0.039,3.183e-4,-25.928,398.3
89.397,1078.4,-1105.006,0.073,0.096,72.193,1.111e-7,0.039,3.183e-4,-25.753,399.4
89.897,1076.631,-1103.227,0.074,0.128,72.021,1.111e-7,0.039,3.183e-4,-25.578,400.4
90.397,1074.842,-1101.429,0.074,0.19,71.677,1.111e-7,0.039,3.183e-4,-25.403,401.4
90.897,1073.025,-1099.603,0.073,0.159,71.849,1.111e-7,0.039,3.183e-4,-25.228,402.5
91.397,1071.177,-1097.745,0.071,0.071,73.167,1.111e-7,0.039,3.183e-4,-25.054,403.5
91.897,1069.321,-1095.88,0.077,0.349,70.76,1.111e-7,0.039,3.183e-4,-24.879,404.6
92.397,1067.441,-1093.991,0.069,0.067,73.167,1.111e-7,0.039,3.183e-4,-24.705,405.6
92.897,1065.535,-1092.076,0.07,0.053,72.479,1.111e-7,0.039,3.183e-4,-24.531,406.6
93.397,1063.631,-1090.163,0.071,0.128,72.021,1.111e-7,0.039,3.183e-4,-24.357,407.7
93.897,1061.711,-1088.233,0.071,0.115,73.453,1.111e-7,0.039,3.183e-4,-24.183,408.8
94.397,1059.79,-1086.303,0.073,0.196,73.912,1.111e-7,0.039,3.183e-4,-24.01,409.9
94.897,1057.896,-1084.4,0.072,0.113,73.453,1.111e-7,0.039,3.183e-4,-23.836,410.9
95.397,1056.03,-1082.524,0.073,0.186,73.854,1.111e-7,0.039,3.183e-4,-23.663,412
95.897,1054.19,-1080.675,0.073,0.152,73.682,1.111e-7,0.039,3.183e-4,-23.49,413.1
96.397,1052.38,-1078.856,0.072,0.02,72.651,1.111e-7,0.039,3.183e-4,-23.317,414.2
96.897,1050.581,-1077.048,0.072,0.08,72.307,1.111e-7,0.039,3.183e-4,-23.144,415.3
97.397,1048.774,-1075.232,0.072,0.067,73.167,1.111e-7,0.039,3.183e-4,-22.972,416.3
97.897,1046.965,-1073.414,0.073,0.156,73.682,1.111e-7,0.039,3.183e-4,-22.799,417.4
98.397,1045.177,-1071.616,0.071,0.108,73.396,1.111e-7,0.039,3.183e-4,-22.627,418.5
98.897,1043.412,-1069.842,0.071,0.055,73.109,1.111e-7,0.039,3.183e-4,-22.455,419.6
99.397,1041.661,-1068.082,0.071,0.138,73.568,1.111e-7,0.039,3.183e-4,-22.283,420.7
99.897,1039.927,-1066.339,0.071,0.098,72.193,1.111e-7,0.039,3.183e-4,-22.111,421.7
100.397,1038.197,-1064.6,0.07,0.041,72.536,1.111e-7,0.039,3.183e-4,-21.94,422.8
100.897,1036.454,-1062.848,0.07,0.007,72.766,1.111e-7,0.039,3.183e-4,-21.768,423.9
101.397,1034.707,-1061.092,0.072,0.228,74.083,1.111e-7,0.039,3.183e-4,-21.597,425
101.897,1032.98,-1059.356,0.068,0.014,72.88,1.111e-7,0.039,3.183e-4,-21.426,426
102.397,1031.274,-1057.641,0.069,0.106,72.193,1.111e-7,0.039,3.183e-4,-21.255,427.1
102.897,1029.56,-1055.918,0.068,0.052,72.479,1.111e-7,0.039,3.183e-4,-21.084,428.2
103.397,1027.832,-1054.181,0.072,0.269,71.219,1.111e-7,0.039,3.183e-4,-20.913,429.2
103.897,1026.075,-1052.416,0.067,0.13,72.021,1.111e-7,0.039,3.183e-4,-20.743,430.3
104.397,1024.284,-1050.615,0.067,0.067,72.365,1.111e-7,0.039,3.183e-4,-20.572,431.4
104.897,1022.475,-1048.797,0.067,0.079,73.224,1.111e-7,0.039,3.183e-4,-20.402,432.4
105.397,1020.667,-1046.981,0.066,0.052,72.479,1.111e-7,0.039,3.183e-4,-20.232,433.5
105.897,1018.861,-1045.166,0.066,0.073,72.365,1.111e-7,0.039,3.183e-4,-20.062,434.6
106.397,1017.044,-1043.34,0.066,0.123,73.51,1.111e-7,0.039,3.183e-4,-19.893,435.6
106.897,1015.232,-1041.519,0.067,0.156,73.682,1.111e-7,0.039,3.183e-4,-19.723,436.7
107.397,1013.444,-1039.723,0.067,0.05,72.479,1.111e-7,0.039,3.183e-4,-19.554,437.8
107.897,1011.666,-1037.936,0.067,0.037,72.594,1.111e-7,0.039,3.183e-4,-19.384,438.9
108.397,1009.88,-1036.141,0.071,0.238,71.391,1.111e-7,0.039,3.183e-4,-19.215,440.1
108.897,1008.07,-1034.322,0.069,0.192,71.677,1.111e-7,0.039,3.183e-4,-19.046,441.2
109.397,1006.222,-1032.465,0.068,0.146,73.625,1.111e-7,0.039,3.183e-4,-18.877,442.3
109.897,1004.369,-1030.604,0.068,0.181,73.854,1.111e-7,0.039,3.183e-4,-18.709,443.4
110.397,1002.546,-1028.772,0.07,0.264,74.313,1.111e-7,0.039,1.592e-4,-18.54,444.5
110.897,1000.762,-1026.979,0.066,0.008,72.708,1.111e-7,0.039,3.183e-4,-18.372,445.6
111.397,999.001,-1025.209,0.066,0.05,73.052,1.111e-7,0.039,3.183e-4,-18.204,446.7
111.897,997.243,-1023.443,0.067,0.161,71.849,1.111e-7,0.039,3.183e-4,-18.036,447.8
112.397,995.475,-1021.666,0.066,0.01,72.823,1.111e-7,0.039,3.183e-4,-17.868,448.9
112.897,993.694,-1019.877,0.066,0.114,73.453,1.111e-7,0.039,3.183e-4,-17.7,450
113.397,991.924,-1018.098,0.065,0.061,72.422,1.111e-7,0.039,3.183e-4,-17.533,451.1
113.897,990.158,-1016.324,0.066,0.093,72.25,1.111e-7,0.039,3.183e-4,-17.365,452.2
114.397,988.379,-1014.536,0.067,0.212,71.562,1.111e-7,0.039,3.183e-4,-17.198,453.3
114.897,986.573,-1012.721,0.065,0.161,71.849,1.111e-7,0.039,3.183e-4,-17.031,454.4
115.397,984.734,-1010.874,0.064,0.034,72.594,1.111e-7,0.039,3.183e-4,-16.864,455.5
115.897,982.878,-1009.009,0.064,0.002,72.766,1.111e-7,0.039,3.183e-4,-16.697,456.6
116.397,981.019,-1007.141,0.066,0.205,71.562,1.111e-7,0.039,3.183e-4,-16.53,457.7
116.897,979.142,-1005.256,0.063,0.003,72.823,1.111e-7,0.039,3.183e-4,-16.364,458.8
117.397,977.247,-1003.352,0.066,0.243,74.198,1.111e-7,0.039,1.592e-4,-16.197,459.9
117.897,975.373,-1001.471,0.063,0.134,73.568,1.111e-7,0.039,3.183e-4,-16.031,461
118.397,973.533,-999.622,0.062,0.119,73.453,1.111e-7,0.039,3.183e-4,-15.865,462.1
118.897,971.716,-997.796,0.062,0.014,72.708,1.111e-7,0.039,3.183e-4,-15.699,463.2
119.397,969.907,-995.979,0.063,0.135,72.021,1.111e-7,0.039,3.183e-4,-15.533,464.3
119.897,968.086,-994.149,0.062,0.091,72.25,1.111e-7,0.039,3.183e-4,-15.368,465.3
120.397,966.244,-992.299,0.063,0.164,71.849,1.111e-7,0.039,3.183e-4,-15.202,466.5
120.897,964.38,-990.427,0.062,0.082,72.307,1.111e-7,0.039,3.183e-4,-15.037,467.6
121.397,962.494,-988.532,0.063,0.046,73.052,1.111e-7,0.039,3.183e-4,-14.872,468.7
121.897,960.605,-986.635,0.069,0.347,74.828,1.111e-7,0.039,1.592e-4,-14.707,469.9
122.397,958.751,-984.772,0.062,0.027,72.938,1.111e-7,0.039,3.183e-4,-14.542,471
122.897,956.929,-982.943,0.063,0.107,73.396,1.111e-7,0.039,3.183e-4,-14.377,472.1
123.397,955.12,-981.125,0.063,0.151,71.906,1.111e-7,0.039,3.183e-4,-14.212,473.3
123.897,953.307,-979.304,0.062,0.04,72.536,1.111e-7,0.039,3.183e-4,-14.048,474.4
124.397,951.477,-977.465,0.062,0.016,72.708,1.111e-7,0.039,3.183e-4,-13.883,475.6
124.897,949.642,-975.622,0.063,0.072,72.365,1.111e-7,0.039,3.183e-4,-13.719,476.7
125.397,947.799,-973.771,0.063,0.086,73.281,1.111e-7,0.039,3.183e-4,-13.555,477.8
125.897,945.958,-971.922,0.063,0.114,73.453,1.111e-7,0.039,3.183e-4,-13.391,479
126.397,944.134,-970.09,0.062,0.038,72.995,1.111e-7,0.039,3.183e-4,-13.227,480.1
126.897,942.324,-968.271,0.062,0.094,73.339,1.111e-7,0.039,3.183e-4,-13.064,481.2
127.397,940.525,-966.464,0.061,0.003,72.766,1.111e-7,0.039,3.183e-4,-12.9,482.3
127.897,938.734,-964.665,0.062,0.149,71.906,1.111e-7,0.039,3.183e-4,-12.737,483.5
128.397,936.93,-962.853,0.061,0.027,72.938,1.111e-7,0.039,3.183e-4,-12.574,484.6
128.897,935.116,-961.03,0.061,0.116,72.078,1.111e-7,0.039,3.183e-4,-12.411,485.7
129.397,933.293,-959.199,0.06,0.059,73.109,1.111e-7,0.039,3.183e-4,-12.248,486.8
129.897,931.465,-957.363,0.062,0.215,74.026,1.111e-7,0.039,3.183e-4,-12.085,488
130.397,929.662,-955.552,0.059,0.018,72.88,1.111e-7,0.039,3.183e-4,-11.922,489.1
130.897,927.879,-953.761,0.064,0.309,70.989,1.111e-7,0.039,3.183e-4,-11.76,490.2
131.397,926.07,-951.944,0.059,0.19,71.677,1.111e-7,0.039,3.183e-4,-11.597,491.3
131.897,924.217,-950.083,0.062,0.301,71.047,1.111e-7,0.039,3.183e-4,-11.435,492.4
132.397,922.321,-948.179,0.057,0.077,72.307,1.111e-7,0.039,3.183e-4,-11.273,493.6
132.897,920.391,-946.241,0.061,0.281,74.427,1.111e-7,0.039,1.592e-4,-11.111,494.7
133.397,918.48,-944.322,0.06,0.296,74.485,1.111e-7,0.039,1.592e-4,-10.949,495.8
133.897,916.619,-942.453,0.055,0.003,72.823,1.111e-7,0.039,3.183e-4,-10.788,496.9
134.397,914.785,-940.611,0.056,0.05,73.052,1.111e-7,0.039,3.183e-4,-10.626,498
134.897,912.955,-938.773,0.058,0.148,73.625,1.111e-7,0.039,3.183e-4,-10.465,499.2
135.397,911.144,-936.954,0.06,0.219,74.083,1.111e-7,0.039,3.183e-4,-10.303,500.4
135.897,909.364,-935.166,0.059,0.165,73.74,1.111e-7,0.039,3.183e-4,-10.142,501.5
136.397,907.619,-933.413,0.058,0.006,72.823,1.111e-7,0.039,3.183e-4,-9.981,502.7
136.897,905.889,-931.675,0.058,0.039,72.536,1.111e-7,0.039,3.183e-4,-9.82,503.9
137.397,904.155,-929.934,0.06,0.144,73.625,1.111e-7,0.039,3.183e-4,-9.659,505
137.897,902.432,-928.202,0.059,0.096,73.339,1.111e-7,0.039,3.183e-4,-9.499,506.2
138.397,900.729,-926.491,0.058,0.006,72.823,1.111e-7,0.039,3.183e-4,-9.338,507.4
138.897,899.035,-924.79,0.061,0.223,71.505,1.111e-7,0.039,3.183e-4,-9.178,508.5
139.397,897.322,-923.069,0.059,0.142,71.963,1.111e-7,0.039,3.183e-4,-9.018,509.7
139.897,895.577,-921.316,0.059,0.174,71.792,1.111e-7,0.039,3.183e-4,-8.858,510.8
140.397,893.804,-919.535,0.06,0.218,71.505,1.111e-7,0.039,3.183e-4,-8.698,512
140.897,891.996,-917.719,0.06,0.28,74.427,1.111e-7,0.039,1.592e-4,-8.538,513.2
141.397,890.193,-915.908,0.056,0.025,72.938,1.111e-7,0.039,3.183e-4,-8.378,514.3
141.897,888.418,-914.125,0.057,0.146,73.625,1.111e-7,0.039,3.183e-4,-8.219,515.5
142.397,886.657,-912.357,0.059,0.245,74.198,1.111e-7,0.039,1.592e-4,-8.059,516.6
142.897,884.931,-910.623,0.056,0.089,73.281,1.111e-7,0.039,3.183e-4,-7.9,517.8
143.397,883.234,-908.918,0.056,0.105,73.396,1.111e-7,0.039,3.183e-4,-7.741,518.9
143.897,881.555,-907.231,0.056,0.101,72.193,1.111e-7,0.039,3.183e-4,-7.582,520.1
144.397,879.876,-905.545,0.056,0.079,72.307,1.111e-7,0.039,3.183e-4,-7.423,521.2
144.897,878.181,-903.842,0.055,0.025,72.938,1.111e-7,0.039,3.183e-4,-7.264,522.4
145.397,876.482,-902.135,0.057,0.168,73.74,1.111e-7,0.039,3.183e-4,-7.106,523.5
145.897,874.799,-900.445,0.056,0.158,71.849,1.111e-7,0.039,3.183e-4,-6.947,524.7
146.397,873.117,-898.755,0.054,0.022,72.651,1.111e-7,0.039,3.183e-4,-6.789,525.8
146.897,871.42,-897.05,0.056,0.193,71.677,1.111e-7,0.039,3.183e-4,-6.631,527
147.397,869.703,-895.326,0.055,0.127,73.51,1.111e-7,0.039,3.183e-4,-6.472,528.1
147.897,867.981,-893.596,0.056,0.206,73.969,1.111e-7,0.039,3.183e-4,-6.314,529.3
148.397,866.288,-891.895,0.053,0.022,72.651,1.111e-7,0.039,3.183e-4,-6.157,530.4
148.897,864.611,-890.21,0.062,0.395,70.474,1.111e-7,0.039,3.183e-4,-5.999,531.6
149.397,862.897,-888.489,0.053,0.109,72.135,1.111e-7,0.039,3.183e-4,-5.841,532.8
149.897,861.139,-886.723,0.053,9.165e-4,72.766,1.111e-7,0.039,3.183e-4,-5.684,534
150.397,859.371,-884.948,0.055,0.156,71.849,1.111e-7,0.039,3.183e-4,-5.526,535.1
150.897,857.589,-883.159,0.055,0.147,71.906,1.111e-7,0.039,3.183e-4,-5.369,536.3
151.397,855.781,-881.343,0.055,0.074,72.365,1.111e-7,0.039,3.183e-4,-5.212,537.5
151.897,853.953,-879.507,0.055,0.049,73.052,1.111e-7,0.039,3.183e-4,-5.055,538.7
152.397,852.123,-877.67,0.055,0.057,72.422,1.111e-7,0.039,3.183e-4,-4.898,539.9
152.897,850.292,-875.831,0.055,0.039,72.995,1.111e-7,0.039,3.183e-4,-4.742,541.1
153.397,848.46,-873.991,0.056,0.139,71.963,1.111e-7,0.039,3.183e-4,-4.585,542.3
153.897,846.618,-872.143,0.055,0.132,72.021,1.111e-7,0.039,3.183e-4,-4.428,543.5
154.397,844.753,-870.27,0.054,0.024,72.651,1.111e-7,0.039,3.183e-4,-4.272,544.7
154.897,842.874,-868.384,0.056,0.211,74.026,1.111e-7,0.039,3.183e-4,-4.116,545.8
155.397,841.012,-866.514,0.055,0.187,73.854,1.111e-7,0.039,3.183e-4,-3.96,547
155.897,839.185,-864.679,0.053,0.02,72.651,1.111e-7,0.039,3.183e-4,-3.804,548.2
156.397,837.372,-862.859,0.053,0.066,73.167,1.111e-7,0.039,3.183e-4,-3.648,549.4
156.897,835.564,-861.043,0.054,0.096,72.25,1.111e-7,0.039,3.183e-4,-3.492,550.6
157.397,833.753,-859.225,0.057,0.265,71.219,1.111e-7,0.039,3.183e-4,-3.337,551.8
157.897,831.91,-857.374,0.054,0.206,73.969,1.111e-7,0.039,3.183e-4,-3.181,552.9
158.397,830.062,-855.519,0.052,0.135,73.568,1.111e-7,0.039,3.183e-4,-3.026,554.1
158.897,828.244,-853.694,0.052,0.122,73.51,1.111e-7,0.039,3.183e-4,-2.871,555.3
159.397,826.448,-851.891,0.052,0.116,73.453,1.111e-7,0.039,3.183e-4,-2.715,556.5
159.897,824.674,-850.109,0.053,0.167,73.74,1.111e-7,0.039,3.183e-4,-2.56,557.6
160.397,822.925,-848.353,0.052,0.134,72.021,1.111e-7,0.039,3.183e-4,-2.406,558.8
160.897,821.179,-846.599,0.051,0.084,73.281,1.111e-7,0.039,3.183e-4,-2.251,560
161.397,819.428,-844.841,0.051,0.065,73.167,1.111e-7,0.039,3.183e-4,-2.096,561.2
161.897,817.69,-843.096,0.051,0.077,72.365,1.111e-7,0.039,3.183e-4,-1.942,562.3
162.397,815.952,-841.35,0.051,0.04,72.536,1.111e-7,0.039,3.183e-4,-1.787,563.5
162.897,814.203,-839.594,0.051,0.037,72.594,1.111e-7,0.039,3.183e-4,-1.633,564.7
163.397,812.447,-837.831,0.051,0.045,73.052,1.111e-7,0.039,3.183e-4,-1.479,565.9
163.897,810.692,-836.069,0.052,0.08,72.307,1.111e-7,0.039,3.183e-4,-1.325,567.1
164.397,808.934,-834.303,0.052,0.085,73.281,1.111e-7,0.039,3.183e-4,-1.171,568.3
164.897,807.176,-832.538,0.052,0.017,72.708,1.111e-7,0.039,3.183e-4,-1.017,569.5
165.397,805.424,-830.779,0.052,0.049,73.052,1.111e-7,0.039,3.183e-4,-0.863,570.7
165.897,803.675,-829.023,0.052,0.027,72.938,1.111e-7,0.039,3.183e-4,-0.71,572
166.397,801.933,-827.274,0.054,0.162,71.849,1.111e-7,0.039,3.183e-4,-0.556,573.2
166.897,800.179,-825.512,0.054,0.195,73.912,1.111e-7,0.039,3.183e-4,-0.403,574.4
167.397,798.427,-823.754,0.051,0.034,72.594,1.111e-7,0.039,3.183e-4,-0.25,575.6
167.897,796.69,-822.009,0.054,0.238,71.391,1.111e-7,0.039,3.183e-4,-0.097,576.8
168.397,794.929,-820.241,0.051,0.126,72.021,1.111e-7,0.039,3.183e-4,0.056,578
168.897,793.135,-818.44,0.051,0.055,72.479,1.111e-7,0.039,3.183e-4,0.209,579.3
169.397,791.326,-816.623,0.051,0.057,73.109,1.111e-7,0.039,3.183e-4,0.362,580.5
169.897,789.516,-814.807,0.051,0.012,72.88,1.111e-7,0.039,3.183e-4,0.514,581.7
170.397,787.713,-812.996,0.051,0.106,73.396,1.111e-7,0.039,3.183e-4,0.667,582.9
170.897,785.92,-811.196,0.052,0.172,73.797,1.111e-7,0.039,3.183e-4,0.819,584.1
171.397,784.152,-809.421,0.05,0.019,72.88,1.111e-7,0.039,3.183e-4,0.972,585.3
171.897,782.4,-807.663,0.05,0.104,73.396,1.111e-7,0.039,3.183e-4,1.124,586.5
172.397,780.66,-805.915,0.05,0.116,72.078,1.111e-7,0.039,3.183e-4,1.276,587.7
172.897,778.918,-804.166,0.051,0.155,73.682,1.111e-7,0.039,3.183e-4,1.428,588.9
173.397,777.18,-802.421,0.05,0.11,73.396,1.111e-7,0.039,3.183e-4,1.579,590.1
173.897,775.466,-800.699,0.049,0.084,72.307,1.111e-7,0.039,3.183e-4,1.731,591.3
174.397,773.753,-798.98,0.049,0.049,72.479,1.111e-7,0.039,3.183e-4,1.883,592.5
174.897,772.029,-797.249,0.052,0.237,71.391,1.111e-7,0.039,3.183e-4,2.034,593.7
175.397,770.279,-795.492,0.053,0.319,70.932,1.111e-7,0.039,3.183e-4,2.185,595
175.897,768.481,-793.687,0.047,0.088,72.25,1.111e-7,0.039,3.183e-4,2.337,596.2
176.397,766.646,-791.845,0.047,0.004,72.823,1.111e-7,0.039,3.183e-4,2.488,597.4
176.897,764.804,-789.996,0.048,0.157,73.682,1.111e-7,0.039,3.183e-4,2.639,598.6
177.397,762.977,-788.161,0.047,0.03,72.938,1.111e-7,0.039,3.183e-4,2.79,599.7
177.897,761.165,-786.343,0.048,0.12,72.078,1.111e-7,0.039,3.183e-4,2.94,600.9
178.397,759.346,-784.517,0.047,0.017,72.708,1.111e-7,0.039,3.183e-4,3.091,602.1
178.897,757.515,-782.679,0.048,0.009,72.708,1.111e-7,0.039,3.183e-4,3.242,603.4
179.397,755.681,-780.839,0.049,0.139,73.568,1.111e-7,0.039,3.183e-4,3.392,604.6
179.897,753.859,-779.01,0.049,0.059,72.422,1.111e-7,0.039,3.183e-4,3.543,605.9
180.397,752.045,-777.188,0.049,0.091,73.339,1.111e-7,0.039,3.183e-4,3.693,607.1
180.897,750.232,-775.369,0.049,0.015,72.88,1.111e-7,0.039,3.183e-4,3.843,608.4
181.397,748.43,-773.559,0.053,0.278,74.427,1.111e-7,0.039,1.592e-4,3.993,609.6
181.897,746.653,-771.776,0.048,0.022,72.651,1.111e-7,0.039,3.183e-4,4.143,610.9
182.397,744.899,-770.015,0.053,0.308,70.989,1.111e-7,0.039,3.183e-4,4.293,612.1
182.897,743.116,-768.224,0.047,0.004,72.766,1.111e-7,0.039,3.183e-4,4.442,613.4
183.397,741.305,-766.407,0.047,0.037,72.594,1.111e-7,0.039,3.183e-4,4.592,614.6
