# Time (s),Position East of launch (ft),Position North of launch (ft),Vertical acceleration (ft/s²),Lateral acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Air temperature (°F),Air pressure (mbar)
302.539,1008.087,-1086.427,0.02,0.791,74.198,1.111e-7,0.039,1.592e-4,93.492,896
302.941,1003.025,-1081.365,0.007,0.682,74.026,1.111e-7,0.039,1.592e-4,93.544,896.3
303.342,998.048,-1076.385,0.092,2.421,68.526,1.111e-7,0.039,3.183e-4,93.596,896.6
303.744,992.969,-1071.309,-0.079,0.459,73.625,1.111e-7,0.039,1.592e-4,93.648,896.9
304.146,987.776,-1066.112,0.217,3.73,79.355,1.111e-7,0.039,1.592e-4,93.7,897.2
304.547,982.828,-1061.165,-0.197,0.62,73.912,1.111e-7,0.039,1.592e-4,93.753,897.6
304.95,978.114,-1056.447,0.016,0.909,74.427,1.111e-7,0.039,1.592e-4,93.805,897.9
305.351,973.501,-1051.834,0.066,2.126,69.041,1.111e-7,0.039,3.183e-4,93.855,898.2
305.753,968.822,-1047.152,-0.049,0.883,71.219,1.111e-7,0.039,3.183e-4,93.907,898.5
306.154,963.967,-1042.297,0.01,0.899,74.427,1.111e-7,0.039,1.592e-4,93.96,898.8
306.556,959.114,-1037.444,0.046,1.831,76.031,1.111e-7,0.039,1.592e-4,94.012,899.1
306.957,954.423,-1032.749,-0.039,0.568,71.792,1.111e-7,0.039,3.183e-4,94.064,899.4
307.358,949.797,-1028.123,0.007,0.367,73.453,1.111e-7,0.039,1.592e-4,94.116,899.7
307.759,945.164,-1023.491,0.007,0.007,72.766,1.111e-7,0.039,3.183e-4,94.168,900
308.16,940.554,-1018.881,0.039,1.444,75.344,1.111e-7,0.039,1.592e-4,94.221,900.3
308.561,936.027,-1014.35,0.016,1.631,69.901,1.111e-7,0.039,3.183e-4,94.271,900.7
308.962,931.483,-1009.81,-0.033,0.266,73.281,1.111e-7,0.039,1.592e-4,94.323,901
309.363,926.867,-1005.187,0.013,0.705,74.083,1.111e-7,0.039,1.592e-4,94.375,901.3
309.764,922.306,-1000.627,0.002,0.341,73.396,1.111e-7,0.039,1.592e-4,94.428,901.6
310.164,917.805,-996.125,0.007,0.115,72.995,1.111e-7,0.039,3.183e-4,94.48,901.9
310.565,913.333,-991.654,0.069,2.008,69.213,1.111e-7,0.039,3.183e-4,94.532,902.2
310.966,908.753,-987.07,-0.03,1.24,70.588,1.111e-7,0.039,3.183e-4,94.582,902.5
311.367,903.986,-982.303,0.115,2.894,67.666,1.111e-7,0.039,3.183e-4,94.635,902.8
311.767,898.986,-977.3,-0.082,1.598,69.958,1.111e-7,0.039,3.183e-4,94.687,903.1
312.168,893.724,-972.037,-0.033,0.033,72.766,1.111e-7,0.039,3.183e-4,94.739,903.4
312.569,888.376,-966.69,0.033,1.23,70.588,1.111e-7,0.039,3.183e-4,94.791,903.8
312.969,882.959,-961.273,-0.001,0.965,74.542,1.111e-7,0.039,1.592e-4,94.842,904.1
313.37,877.53,-955.84,0.092,2.536,77.292,1.111e-7,0.039,1.592e-4,94.894,904.4
313.77,872.297,-950.61,-0.056,1.545,75.573,1.111e-7,0.039,1.592e-4,94.946,904.7
314.171,867.293,-945.604,0.016,1.732,69.729,1.111e-7,0.039,3.183e-4,94.998,905
314.571,862.28,-940.591,0.016,1.87,76.146,1.111e-7,0.039,1.592e-4,95.049,905.3
314.972,857.277,-935.587,0.358,5.171,81.818,1.111e-7,0.039,1.49e-4,95.101,905.6
315.372,852.674,-930.981,-0.361,1.499,70.073,1.111e-7,0.039,3.183e-4,95.153,905.9
315.775,848.255,-926.558,0.056,2.293,68.698,1.111e-7,0.039,3.183e-4,95.205,906.2
316.175,843.645,-921.949,-0.069,0.587,71.734,1.111e-7,0.039,3.183e-4,95.256,906.5
316.575,838.868,-917.172,0.007,0.495,73.682,1.111e-7,0.039,1.592e-4,95.302,906.8
316.975,834.094,-912.398,0.013,0.978,74.542,1.111e-7,0.039,1.592e-4,95.32,906.9
317.375,829.403,-907.703,0.033,1.677,69.786,1.111e-7,0.039,3.183e-4,95.34,907
317.775,824.672,-902.972,0.036,2.218,68.87,1.111e-7,0.039,3.183e-4,95.36,907.2
318.175,819.718,-898.018,-0.069,0.617,73.912,1.111e-7,0.039,1.592e-4,95.38,907.3
318.575,814.672,-892.969,-0.002,0.259,73.281,1.111e-7,0.039,1.592e-4,95.398,907.4
318.975,809.678,-887.976,0.003,0.315,72.25,1.111e-7,0.039,3.183e-4,95.418,907.5
319.375,804.685,-882.982,0.046,1.68,75.802,1.111e-7,0.039,1.592e-4,95.437,907.6
319.774,799.767,-878.064,-0.039,0.387,73.51,1.111e-7,0.039,1.592e-4,95.457,907.8
320.174,794.964,-873.261,0.154,3.146,78.381,1.111e-7,0.039,1.592e-4,95.477,907.9
320.574,790.364,-868.658,0.115,4.154,65.432,1.111e-7,0.039,3.183e-4,95.495,908
320.975,785.696,-863.99,-0.253,0.682,71.562,1.111e-7,0.039,3.183e-4,95.515,908.1
321.376,780.745,-859.039,0.089,2.438,68.468,1.111e-7,0.039,3.183e-4,95.535,908.2
321.776,775.636,-853.93,-0.066,1.207,74.943,1.111e-7,0.039,1.592e-4,95.554,908.4
322.176,770.456,-848.743,-0.016,0.472,71.963,1.111e-7,0.039,3.183e-4,95.574,908.5
322.576,765.318,-843.609,0.013,0.945,71.104,1.111e-7,0.039,3.183e-4,95.592,908.6
322.975,760.105,-838.392,0.001,0.879,74.37,1.111e-7,0.039,1.592e-4,95.612,908.7
323.375,754.885,-833.173,0.187,3.573,79.125,1.111e-7,0.039,1.592e-4,95.632,908.8
323.774,749.921,-828.205,-0.177,1.017,74.599,1.111e-7,0.039,1.592e-4,95.652,908.9
324.175,745.2,-823.484,0.059,2.136,68.984,1.111e-7,0.039,3.183e-4,95.67,909.1
324.575,740.43,-818.714,0.059,2.851,67.724,1.111e-7,0.039,3.183e-4,95.689,909.2
324.975,735.374,-813.655,-0.115,0.771,74.198,1.111e-7,0.039,1.592e-4,95.709,909.3
325.375,730.197,-808.478,0.075,2.32,76.891,1.111e-7,0.039,1.592e-4,95.729,909.4
325.774,725.203,-803.484,-0.072,0.669,71.62,1.111e-7,0.039,3.183e-4,95.747,909.5
326.174,720.295,-798.576,0.013,1.04,74.656,1.111e-7,0.039,1.592e-4,95.767,909.7
326.574,715.417,-793.694,0.033,1.722,75.86,1.111e-7,0.039,1.592e-4,95.787,909.8
326.973,710.692,-788.97,0.043,2.336,68.64,1.111e-7,0.039,3.183e-4,95.806,909.9
327.373,705.932,-784.209,-0.075,0.548,71.792,1.111e-7,0.039,3.183e-4,95.826,910
327.773,701.007,-779.281,2.988e-4,0.351,72.193,1.111e-7,0.039,3.183e-4,95.844,910.1
328.273,694.777,-773.051,0.003,0.285,72.307,1.111e-7,0.039,3.183e-4,95.869,910.3
328.672,689.76,-768.031,0.026,1.247,75,1.111e-7,0.039,1.592e-4,95.889,910.4
329.071,684.797,-763.071,4.954e-4,1.175,70.703,1.111e-7,0.039,3.183e-4,95.907,910.5
329.571,678.57,-756.841,0.079,2.48,68.411,1.111e-7,0.039,3.183e-4,95.932,910.7
329.971,673.373,-751.64,-0.092,0.243,72.365,1.111e-7,0.039,3.183e-4,95.952,910.8
330.371,668.015,-746.283,0.007,0.436,72.021,1.111e-7,0.039,3.183e-4,95.97,910.9
330.77,662.628,-740.896,0.002,0.384,73.51,1.111e-7,0.039,1.592e-4,95.99,911
331.169,657.238,-735.502,0.043,1.654,75.745,1.111e-7,0.039,1.592e-4,96.01,911.1
331.568,651.962,-730.226,0.249,4.364,80.501,1.111e-7,0.039,1.592e-4,96.03,911.3
331.968,647.024,-725.289,-0.072,3.707,66.177,1.111e-7,0.039,3.183e-4,96.048,911.4
332.368,642.103,-720.364,-0.21,0.092,72.651,1.111e-7,0.039,3.183e-4,96.067,911.5
332.769,636.972,-715.233,0.039,1.552,70.015,1.111e-7,0.039,3.183e-4,96.087,911.6
333.168,631.765,-710.026,-0.033,0.272,72.307,1.111e-7,0.039,3.183e-4,96.107,911.7
333.567,626.453,-704.715,0.197,3.57,79.068,1.111e-7,0.039,1.592e-4,96.125,911.9
333.966,621.329,-699.59,-0.187,0.538,73.74,1.111e-7,0.039,1.592e-4,96.145,912
334.367,616.424,-694.682,0.066,2.06,76.433,1.111e-7,0.039,1.592e-4,96.165,912.1
334.766,611.68,-689.934,0.056,2.776,77.75,1.111e-7,0.039,1.592e-4,96.184,912.2
335.165,607.201,-685.459,-0.023,2.441,77.12,1.111e-7,0.039,1.592e-4,96.202,912.3
335.565,603.015,-681.273,-0.082,0.722,74.083,1.111e-7,0.039,1.592e-4,96.222,912.5
335.964,599.012,-677.267,-0.007,0.01,72.823,1.111e-7,0.039,3.183e-4,96.242,912.6
336.363,595.052,-673.307,0.075,2.156,68.984,1.111e-7,0.039,3.183e-4,96.262,912.7
336.762,590.974,-669.226,-0.062,0.673,74.026,1.111e-7,0.039,1.592e-4,96.28,912.8
337.161,586.808,-665.059,-0.003,0.213,72.422,1.111e-7,0.039,3.183e-4,96.3,912.9
337.56,582.674,-660.922,0.151,3.097,67.323,1.111e-7,0.039,3.183e-4,96.319,913
337.959,578.35,-656.601,-0.056,2.385,68.526,1.111e-7,0.039,3.183e-4,96.339,913.2
338.359,573.711,-651.959,0.016,2.579,68.239,1.111e-7,0.039,3.183e-4,96.357,913.3
338.758,568.793,-647.041,-0.052,1.781,75.974,1.111e-7,0.039,1.592e-4,96.377,913.4
339.158,563.832,-642.077,0.023,2.106,76.547,1.111e-7,0.039,1.592e-4,96.397,913.5
339.557,559.094,-637.339,0.131,3.579,66.463,1.111e-7,0.039,3.183e-4,96.415,913.6
339.956,554.272,-632.513,-0.184,0.83,74.313,1.111e-7,0.039,1.592e-4,96.435,913.8
340.356,549.281,-627.526,0.023,1.388,75.287,1.111e-7,0.039,1.592e-4,96.454,913.9
340.564,546.739,-624.98,-0.016,0.259,73.281,1.111e-7,0.039,1.592e-4,96.465,913.9
